Brand,Model,Engine Capacity,Price,Kilometers,Location
TVS Ntorq 125,2019,124.79,68000,6500,"Villivakkam, Chennai"
Jawa 300,2019,293,160000,15000,"Nandanam, Chennai"
Honda Activa,2011,109,16500,30000,"Royapettah, Chennai"
Honda Activa 4G,2017,109.2,45000,27000,"Alandur, Chennai"
Royal Enfield Bullet Electra,2012,346,73000,74000,"Thiruthani, Chennai"
TVS Scooty,2006,NA,NA,5000,"New Washermenpet, Chennai"
KTM RC 200,2019,199.5,35000,3000,"Anna Nagar, Chennai"
TVS Apache RTR 160,2011,159.7,22000,900000,"Medavakkam, Chennai"
Bajaj Dominar 400,2020,373.3,165000,6500,"Kolathur, Chennai"
Hero Passion Pro 100,2016,97.2,40000,20921,"Ayappakkam, Chennai"
TVS Scooty,2007,59.9,11000,11000,"Kodambakkam, Chennai"
Bajaj Avenger 220,2021,220,135000,NA,"Navallur, Chennai"
Bajaj V15,2017,149.5,45000,30000,"Saidapet, Chennai"
Hero Impulse,2021,149.2,NA,NA,"Adyar, Chennai"
Yamaha FZ25,2017,249,70000,25000,"Sembakkam, Chennai"
Royal Enfield Bullet 350 Twinspark,2015,346,100000,30700,"Anna Nagar, Chennai"
TVS Ntorq 125,2019,124.79,55000,12106,"Maduravoyal, Chennai"
TVS Scooty,2011,87.8,15000,23800,"Kodambakkam, Chennai"
KTM Duke 390,2015,373,35000,42365,"Villivakkam, Chennai"
Honda Shine SP,2015,124.73,32000,27000,"Kovur Colony, Chennai"
Royal Enfield Bullet Electra,2013,346,75000,20000,"Mandaveli, Chennai"
KTM Duke 390,2017,373,100000,20000,"Thoraipakkam, Chennai"
Triumph Tiger,2017,799,1000000,9000,"Adyar, Chennai"
TVS Star Sport,2010,99.7,20000,80000,"Padappai, Chennai"
Honda CB Unicorn,2013,149.1,30000,50000,"Sriperumbudur, Chennai"
Royal Enfield Bullet Classic,2010,499,90000,11200,"Noombal, Chennai"
Royal Enfield Bullet 350 Twinspark,2018,346,110000,20100,"Okkiyam Thuraipakkam, Chennai"
Royal Enfield Bullet Classic,2020,346,55000,15369,"Kuthambakkam, Chennai"
KTM Duke 390,2015,373,35000,42519,"Venmanambudur, Chennai"
Royal Enfield Bullet Classic,2015,346,100000,40000,"Palavakkam, Chennai"
Honda Activa i,2013,109.2,26000,22000,"Virugambakkam, Chennai"
Bajaj Bravo,1999,145.5,30000,8000,"Anna Nagar East, Chennai"
Honda CBF Stunner,2011,124.7,25000,50000,"Tambaram West, Chennai"
Aprilia SR 150,2017,154.4,47500,14000,"Tondiarpet, Chennai"
Royal Enfield Bullet,2018,346,114999,12576,"Ambattur, Chennai"
Honda CB Hornet 160R,2017,162.71,57000,53000,"Ambattur, Chennai"
KTM Duke 200,2014,199.5,100000,13000,"Vadapalani, Chennai"
KTM Duke 390 ABS,2018,373,175000,15752,"Korattur, Chennai"
Bajaj Pulsar 180,2010,178.6,38500,48500,"Vepery, Chennai"
Bajaj Pulsar RS200,2019,199.5,120000,16800,"Perungalathur, Chennai"
Bajaj Avenger 150,2016,150,37000,78000,"Vadapalani, Chennai"
Royal Enfield Bullet 500,2015,499,85000,28000,"Thiruvallur Road, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,8355,"Greams Road, Chennai"
Yamaha Saluto,2019,125,50000,44000,"Tambaram East, Chennai"
KTM Duke 390,2015,373,35000,42561,"Shanthi Nagar, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,8535,"Madras University, Chennai"
Bajaj Pulsar 150,2011,150,10000,95000,"Madhavaram, Chennai"
KTM Duke 390,2015,373,35000,42536,"Thiruporur, Chennai"
Yamaha FZ25,2019,249,92000,24200,"Kolathur, Chennai"
TVS Apache RTR 160,2006,159.7,16500,60000,"Palavakkam, Chennai"
Honda Activa,2017,109,45000,16000,"Alwarthirunagar, Chennai"
Bajaj Avenger 220,2016,220,55500,25000,"Perambur, Chennai"
Honda Dio,2019,109,51000,18000,"Padi, Chennai"
Bajaj Avenger,2014,178.6,39000,34000,"Thiruverkadu, Chennai"
Bajaj Pulsar,2008,NA,14500,100000,"Perambur, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,8386,"Manapakkam, Chennai"
Honda Grazia,2019,124.9,65000,13331,"Perungalathur, Chennai"
Suzuki Gixxer,2017,155,65000,30000,"Palavakkam, Chennai"
Yamaha Fazer,2013,123.7,30000,60000,"Adyar, Chennai"
TVS Scooty,2012,87.8,21500,9575,"Royapettah, Chennai"
Hero Super Splendor 125,2019,124.7,62000,8000,"Kodungaiyur, Chennai"
TVS Scooty Zest,2019,109.7,11000,NA,"Kilkattalai, Chennai"
Yamaha FZ S,2020,153,93000,17800,"Kundrathur Road, Chennai"
Hero Passion Pro 100,2008,97.2,NA,27000,"Saidapet, Chennai"
Yamaha Fazer,2013,123.7,36000,57000,"Poonamallee, Chennai"
Hero Honda CBZ Xtreme,2013,149.2,23000,30000,"Velachery, Chennai"
Bajaj Pulsar NS200,2017,199.5,70000,36000,"Keelkattalai, Chennai"
KTM Duke 125,2021,124.7,155000,9000,"Kodambakkam, Chennai"
KTM Duke 125,2021,124.7,150000,9000,"Kodambakkam, Chennai"
Honda Shine SP,2014,124.73,50000,110000,"Egmore, Chennai"
Yamaha Ray Z,2017,113,37999,15000,"Choolai, Chennai"
Honda Activa,2006,109,20000,14000,"Tambaram, Chennai"
Royal Enfield Thunderbird 350,2017,346,100000,30000,"Poonamallee, Chennai"
Honda Activa,2011,109,18000,20500,"Anna Nagar West, Chennai"
TVS Phoenix,2013,124.5,24000,90000,"Avadi, Chennai"
TVS Scooty Pep,2019,74.6,48000,3272,"Ayanavaram, Chennai"
