Brand,Model,Engine Capacity,Price,Kilometers,Location
KTM RC 200,2016,199.5,110000,30603,"Porur, Chennai"
Honda Activa,2013,109,25000,32000,"Kodungaiyur, Chennai"
KTM Duke 200,2016,199.5,35000,15525,"Kotturpuram, Chennai"
Bajaj Pulsar 220F,2016,220,60000,30000,"Potheri, Chennai"
Royal Enfield Bullet 350 Twinspark,2013,346,75000,51000,"Nerkundram, Chennai"
TVS Scooty,2012,87.8,25000,2852590,"Kk Nagar, Chennai"
Honda Activa 4G,2013,109.2,32500,15000,"Flower Bazaar, Chennai"
Suzuki Swish 125,2014,124,30000,32700,"Thirumullaivoyal, Chennai"
Royal Enfield Bullet Classic,2018,346,45000,12500,"George Town, Chennai"
KTM RC 200,2018,199.5,42000,11245,"Dr.Radhakrishnan Salai, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Kundrathur Road, Chennai"
Honda Activa 4G,2017,109.2,18000,7220,"Gst Road, Chennai"
Honda Activa 4G,2019,109.2,17000,7000,"Ashok Nagar, Chennai"
Royal Enfield Bullet Classic,2018,346,135000,19350,"Pallikaranai, Chennai"
KTM Duke 200,2016,199.5,35000,35982,"Anna Nagar, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Kundrathur Road, Chennai"
KTM Duke 390,2018,373,55000,12555,"G K M Colony, Chennai"
Royal Enfield Bullet Classic,2020,346,65000,8520,"Camp Road, Chennai"
KTM Duke 200,2016,199.5,25000,9280,"Pallikaranai, Chennai"
Royal Enfield Bullet Classic,2019,346,70000,11999,"Arambakkam, Chennai"
Bajaj Pulsar,2008,NA,27000,56000,"Vadapalani, Chennai"
KTM Duke 200,2016,199.5,30000,14533,"Panaiyur, Chennai"
Royal Enfield Bullet Classic,2019,346,50000,15632,"Sholinghur, Chennai"
Royal Enfield Bullet 350 Twinspark,2013,346,80000,51000,"Nerkundram, Chennai"
Royal Enfield Bullet Classic,2020,346,65000,4580,"Alathur, Chennai"
Yamaha Fazer,2013,123.7,30000,40000,"Maraimalai Nagar, Chennai"
TVS Scooty,2013,87.8,20000,4800,"Tambaram, Chennai"
Royal Enfield Bullet 350 Twinspark,2013,346,80000,51000,"Nerkundram, Chennai"
Honda CB Unicorn,2010,149.1,30000,49500,"Vanuvampet, Chennai"
Yamaha Libero LX,2005,105.6,10000,71000,"Urapakkam, Chennai"
Yamaha YZF R15,2019,149,125000,18500,"Kodungaiyur, Chennai"
Royal Enfield Thunderbird 350,2013,346,100000,9999,"Palavakkam, Chennai"
Honda Dio,2018,109,55000,25000,"Semmencherry, Chennai"
Hero Duet,2016,110.9,31000,34500,"Avadi, Chennai"
Royal Enfield Bullet Classic,2019,346,60000,11999,"Flower Bazaar, Chennai"
Royal Enfield Bullet Classic,2016,346,25000,14580,"Anna Nagar East, Chennai"
Honda Activa,2007,109,26500,2800,"Adyar, Chennai"
Honda Dio,2017,109,23000,1588,"Ekkatuthangal, Chennai"
KTM Duke 200,2016,199.5,32000,15298,"Edapalayam, Chennai"
Honda Dazzler,2012,149.1,32000,120000,"Vadapalani, Chennai"
Bajaj Discover 125M,2014,124.6,34999,19796,"Perungalathur, Chennai"
Royal Enfield Bullet Classic,2017,346,75000,12500,"Anna Nagar West, Chennai"
Honda cd 110 dream,NA,110,NA,700000,"Chengalpattu, Chennai"
Hero Splendor Plus 100,2019,97.2,20000,8000,"Anna Salai, Chennai"
Honda Activa,2016,109,16000,8500,"Erukkancheri, Chennai"
KTM Duke 200,2016,199.5,20000,15385,"Mogappair, Chennai"
KTM RC 200,2018,199.5,45000,12580,"Alathur, Chennai"
Yamaha Fascino,2017,113,47000,11900,"Ayappakkam, Chennai"
Royal Enfield Thunderbird 350X,2019,346,175000,8800,"Kovilambakkam, Chennai"
Bajaj Pulsar 150,2013,150,26500,33028,"Perungudi, Chennai"
Royal Enfield Continental GT 650,2018,648,240000,59428,"Madhavaram, Chennai"
TVS Wego,2012,NA,21000,17434,"Adambakkam, Chennai"
KTM Duke 200,2016,199.5,25000,9289,"Kandigai, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Kundrathur Road, Chennai"
Yamaha Libero LX,2005,105.6,10000,71000,"Urapakkam West, Chennai"
Bajaj CT 100,2019,99.27,41000,15000,"Royapuram, Chennai"
TVS Star,2007,NA,10000,168000,"Gerugambakkam, Chennai"
Yamaha Fazer,2014,123.7,55000,25000,"Thiruvallur Road, Chennai"
Royal Enfield Bullet Classic,2019,346,45000,8656,"Chitlapakkam, Chennai"
Royal Enfield Bullet Classic,2015,346,135000,15000,"Perumbakkam, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Abhiramapuram, Chennai"
Honda Activa,2015,109,42500,23000,"Palavakkam, Chennai"
Honda Activa 4G,2017,109.2,18000,7120,"Fort St.George, Chennai"
KTM Duke 250,2020,248.8,65000,5980,"Adambakkam, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Kundrathur Road, Chennai"
Royal Enfield Bullet Classic,2020,346,75000,1711,"Ramakrishna Nagar, Chennai"
KTM Duke 200,2016,199.5,20000,15555,"Ambattur Industrial Estate, Chennai"
Royal Enfield Bullet Classic,2019,346,45000,8656,"Karappakam, Chennai"
KTM Duke 200,2016,199.5,20000,14588,"East Coast Road, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Kundrathur Road, Chennai"
Royal Enfield Bullet Classic,2018,346,45000,12200,"Chembarambakkam, Chennai"
Bajaj Discover 150S,2015,144.8,47000,35442,"Ramapuram, Chennai"
Royal Enfield Bullet Classic,2018,346,25000,10500,"Chrompet, Chennai"
TVS Scooty,2010,87.8,16500,35000,"Ayanavaram, Chennai"
Bajaj Pulsar 150,2010,150,20000,80000,"Urapakkam, Chennai"
Piaggio Vespa,2013,125,40000,9000,"Korattur, Chennai"
Bajaj Pulsar 220F,2011,220,35000,35000,"Virugambakkam, Chennai"
KTM Duke 200,2016,199.5,35000,15525,"Gummidipundi, Chennai"
Royal Enfield Bullet Classic,2018,346,45000,12500,"Elavur, Chennai"
KTM RC 200,2018,199.5,45000,6589,"Madras Medical College, Chennai"
Honda Activa 4G,2017,109.2,18000,7120,"Ayanavaram, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,7886,"Egattur, Chennai"
Honda Dio,2017,109,12000,7000,"Madhanandapuram, Chennai"
Royal Enfield Bullet Classic,2018,346,40000,12500,"Nanmangalam, Chennai"
Honda Activa 4G,2019,109.2,17000,7000,"Ayappakkam, Chennai"
Honda Activa,2013,109,28000,28900,"Kelambakkam, Chennai"
Honda Dio,2015,109,29999,40000,"Thiruvottiyur, Chennai"
Honda CB Unicorn,2011,149.1,29500,74150,"Tambaram East, Chennai"
Bajaj Pulsar RS200,2016,199.5,85000,21485,"Anakaputhur, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Flowers Road, Chennai"
TVS Apache RR 310,2018,312.2,175000,22000,"Perambakkam, Chennai"
Yamaha FZ 16,2017,153,61000,21000,"Velachery, Chennai"
TVS Star Sport,2011,99.7,11000,58000,"Redhills, Chennai"
Yamaha YZF R15,2016,149,100000,30000,"Kolathur, Chennai"
Kawasaki Bajaj Ninja 300,2019,296,295000,9400,"Manali New Town, Chennai"
Honda Activa,2012,109,23000,52141,"Porur, Chennai"
Royal Enfield Bullet Classic,2016,346,25000,14580,"Alwarpet, Chennai"
Hero Karizma ZMR,2011,223,17500,50000,"Kandigai, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Ariyalur, Chennai"
Bajaj Pulsar NS200,2015,199.5,70000,52000,"Avadi, Chennai"
TVS Scooty Zest,2018,109.7,45000,20000,"Perambur, Chennai"
Honda Activa,2017,109,55000,2500,"Saidapet, Chennai"
Bajaj Pulsar RS200,2016,199.5,85000,21485,"Anakaputhur, Chennai"
Bajaj Pulsar,2005,NA,15000,50000,"Kodambakkam, Chennai"
Royal Enfield Bullet Classic,2016,346,23000,12580,"Choolai, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,7886,"Adambakkam, Chennai"
Honda Activa 4G,2019,109.2,17000,7000,"Cholavaram, Chennai"
Honda Activa 4G,2019,109.2,22000,2724,"Kalavakkam, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"East Coast Road, Chennai"
KTM Duke 390,2018,373,55000,12055,"CIT Nagar, Chennai"
Royal Enfield Bullet Classic,2018,346,40000,12500,"Kumaran Nagar, Chennai"
Royal Enfield Bullet Classic,2017,346,45000,9520,"CP Ramaswami Rd, Chennai"
Honda Activa 4G,2019,109.2,17500,8500,"CP Ramaswami Rd, Chennai"
Hero Maestro,2014,109,28000,29000,"Maduravoyal, Chennai"
KTM Duke 200,2016,199.5,30000,14533,"Puthagaram, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"G K M Colony, Chennai"
Royal Enfield Bullet Classic,2014,346,50000,55412,"Kodambakkam, Chennai"
KTM Duke 200,2016,199.5,25000,15385,"Mogappair, Chennai"
Honda Dio,2017,109,13000,7000,"Old Mahabalipuram Road, Chennai"
Honda Dio,2014,109,40000,11200,"Alandur, Chennai"
Honda Activa,2004,109,NA,28900,"Perambur, Chennai"
Honda Dio,2014,109,38000,11200,"Alandur, Chennai"
Bajaj Boxer,2001,NA,10000,68000,"Puzhal, Chennai"
Royal Enfield Bullet Classic,2018,346,25000,10500,"Aranvoyal, Chennai"
Honda Activa 4G,2019,109.2,17500,8500,"Anna Nagar, Chennai"
KTM Duke 200,2016,199.5,20000,15555,"Ariyalur, Chennai"
Royal Enfield Bullet Classic,2012,346,72000,62000,"Kilpauk, Chennai"
Bajaj CT 100,2001,99.27,10000,68000,"Puzhal, Chennai"
Bajaj Avenger,2013,178.6,20000,78000,"Vepery, Chennai"
Royal Enfield Bullet Classic,2016,346,25000,15385,"Kandancavadi, Chennai"
KTM RC 200,2018,199.5,45000,10852,"Ottiyabakkam, Chennai"
Royal Enfield Bullet Classic,2016,346,28500,19584,"CIT Nagar, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,7854,"Kasturba Nagar, Chennai"
Kawasaki Bajaj Ninja 300,2019,296,290000,9500,"Manali, Chennai"
Bajaj Pulsar NS200,2014,199.5,60000,23000,"Teynampet, Chennai"
Royal Enfield Thunderbird 350,2019,346,130000,16700,"Annanur, Chennai"
Honda CB Unicorn,2008,149.1,17500,93000,"Nanmangalam, Chennai"
Honda Activa i,2017,109.2,NA,19028,"Perungudi, Chennai"
Honda Activa 4G,2019,109.2,25000,9288,"Fort St George, Chennai"
Royal Enfield Bullet Classic,2016,346,28500,19547,"Ashok Nagar, Chennai"
Yamaha Fazer,2010,123.7,20000,7830,"Padur, Chennai"
Yamaha Fazer,2010,123.7,18000,7800,"Padur, Chennai"
Hero Splendor iSmart,2019,97.2,50000,7000,"Veppampattu, Chennai"
KTM RC 200,2018,199.5,45000,6370,"Adambakkam, Chennai"
KTM Duke 200,2016,199.5,30000,14533,"Kandancavadi, Chennai"
KTM Duke 200,2016,199.5,25000,12565,"Arambakkam, Chennai"
KTM RC 200,2018,199.5,40000,10886,"Okkiyam Thuraipakkam, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Cathedral Road, Chennai"
Aprilia SR 150,2019,154.4,75000,5000,"Ambattur, Chennai"
TVS Scooty,2013,87.8,15000,258709,"Ashok Nagar, Chennai"
TVS Scooty,2012,87.8,18000,37000,"Guduvanchery, Chennai"
Royal Enfield Bullet Classic,2017,346,45000,9550,"Lakshmipuram, Chennai"
Honda CB Hornet 160R,2016,162.71,47000,31500,"Madhanandapuram, Chennai"
Honda Dio,2019,109,65000,29000,"Sriperumbudur, Chennai"
Hero Splendor Plus 100,2010,97.2,24000,75000,"Sholinganallur, Chennai"
Bajaj Avenger 220,2014,220,42000,35000,"Rathinamangalam, Chennai"
Bajaj Chetak 2S,NA,145.45,NA,40000,"Agaram, Chennai"
TVS Suzuki Fiero,2001,147.5,NA,500000,"Agaram, Chennai"
Yamaha YZF R15,2013,149,65000,45000,"Perambur, Chennai"
Bajaj CT 100,1998,99.27,NA,10000,"Agaram, Chennai"
Royal Enfield Thunderbird 350X,2018,346,150000,22000,"Guduvanchery, Chennai"
Honda CBF Stunner,2014,124.7,18000,25000,"Agaram, Chennai"
Hero Honda Passion,2004,97.2,12000,25000,"Agaram, Chennai"
Yamaha RX135,1998,132,12000,50000,"Alwarpet, Chennai"
TVS Star,2007,NA,10000,40000,"Tiruvottiyur, Chennai"
Bajaj V15,2016,149.5,40000,13000,"Poonamallee, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Kavaraipettai, Chennai"
Hero Duet,2016,110.9,45000,10000,"Ambattur, Chennai"
Hero Splendor iSmart,2016,97.2,40000,23600,"Kalaignar Karunanidhi Nagar, Chennai"
Yamaha FZ S,2015,153,50000,12483,"Kottivakkam, Chennai"
Honda Activa 4G,2016,109.2,29000,18000,"2Nd Main Road, Chennai"
KTM Duke 200,2016,199.5,20000,15356,"Gummidipundi, Chennai"
Honda Activa 4G,2020,109.2,25000,4215,"Padur, Chennai"
Honda Dio,2017,109,13000,7000,"Okkiyam Thuraipakkam, Chennai"
Bajaj CT 100,2015,99.27,26500,9283,"Perungudi, Chennai"
Bajaj Discover,2008,134.21,16500,31028,"Perungudi, Chennai"
Bajaj Discover,2008,134.21,16500,31028,"Perungudi, Chennai"
Yamaha YZF R15,2016,149,66500,29028,"Perungudi, Chennai"
TVS Ntorq 125,2018,124.79,60000,18000,"Medavakkam, Chennai"
Yamaha RXZ 135,2017,132,41500,28000,"Medavakkam, Chennai"
Yamaha FZ S,2018,153,75000,29400,"Perungalathur, Chennai"
Honda Activa,2013,109,15500,40000,"Pudupakkam, Chennai"
Royal Enfield Bullet 500,2016,499,125000,30000,"Thiruverkadu, Chennai"
TVS Scooty,2010,87.8,15000,30000,"Egmore, Chennai"
Bajaj Avenger 220,2009,220,24900,20000,"Adyar, Chennai"
Honda CBR150R,2012,149.4,52000,21000,"Perambur, Chennai"
TVS Star Sport,2016,99.7,49999,25000,"Madhanandapuram, Chennai"
TVS Star Sport,2016,99.7,49999,25000,"Madhanandapuram, Chennai"
TVS Star Sport,2016,99.7,49999,25000,"Madhanandapuram, Chennai"
Honda Activa 4G,2020,109.2,65000,NA,"2Nd Main Road, Chennai"
Royal Enfield Bullet Classic,2017,346,45000,9520,"Lloyds Estate, Chennai"
Royal Enfield Bullet Classic,2016,346,28500,19547,"Kalaignar Karunanidhi Nagar, Chennai"
Royal Enfield Bullet Classic,2019,346,45000,9850,"Cholambedu, Chennai"
KTM RC 200,2018,199.5,45000,6589,"Chengalpattu - Thiruporur Road, Chennai"
Honda Activa 4G,2019,109.2,25000,6580,"Ayanavaram, Chennai"
Hero Honda Karizma,2015,223,NA,12500,"Guindy, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,7580,"Adyar, Chennai"
Royal Enfield Bullet Classic,2020,346,65000,8520,"Arakkonam, Chennai"
Royal Enfield Thunderbird 350,2017,346,140000,15000,"Padi, Chennai"
TVS Ntorq 125,2020,124.79,NA,595,"Kodungaiyur, Chennai"
Yamaha FZ 16,2016,153,40000,82000,"Redhills, Chennai"
Yamaha Ray Z,2014,113,25000,15000,"Padi, Chennai"
KTM Duke 200,2016,199.5,25000,15386,"CIT Nagar, Chennai"
KTM Duke 200,2017,199.5,75000,26000,"Kodungaiyur, Chennai"
TVS Ntorq 125,2020,124.79,100000,200,"Kodungaiyur, Chennai"
Royal Enfield Bullet Classic,2018,346,25000,10500,"Annanur, Chennai"
Honda Activa 4G,2017,109.2,18000,7120,"Besant Nagar, Chennai"
KTM Duke 200,2016,199.5,20000,15385,"Keelkattalai, Chennai"
Honda Dio,2017,109,23000,1455,"Govt Stanley Hospital, Chennai"
KTM Duke 200,2016,199.5,20000,14585,"Chetpet, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Meenambakkam, Chennai"
Royal Enfield Bullet Classic,2016,346,28500,19547,"Madhanandapuram, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,7055,"Chrompet, Chennai"
Suzuki Gixxer SF,2016,155,80000,13000,"Velachery, Chennai"
Suzuki Access,2011,124,48000,18650,"West Mambalam, Chennai"
Honda Activa 4G,2019,109.2,17000,7000,"Ennore, Chennai"
Hero Pleasure 100,2018,102,40000,3500,"Velachery, Chennai"
Bajaj CT 100,2015,99.27,26500,9185,"Perungudi, Chennai"
Yamaha YZF R15,2019,149,140000,7500,"Poonamallee, Chennai"
Hero Pleasure 100,2013,102,23700,32000,"Thiruvanmiyur, Chennai"
Bajaj Pulsar 150,2012,150,30000,30000,"Tambaram West, Chennai"
Honda Activa 4G,2019,109.2,25000,6580,"Chrompet, Chennai"
Royal Enfield Bullet Classic,2019,346,65000,10500,"Abhiramapuram, Chennai"
Yamaha SZ-RR,2013,153,35000,20000,"Chennai G.p.o., Chennai"
KTM Duke 390,2018,373,55000,12055,"Guindy, Chennai"
KTM RC 200,2019,199.5,200000,3500,"Triplicane, Chennai"
Royal Enfield Bullet Classic,2019,346,50000,7850,"Chettipunyam, Chennai"
KTM Duke 200,2016,199.5,20000,15355,"Kosappur, Chennai"
Bajaj Discover,2008,134.21,11500,60000,"Jawahar Nagar, Chennai"
Honda Dazzler,2011,149.1,30000,46709,"Ambattur, Chennai"
Honda Dream Neo,2015,109,37000,32300,"Guduvanchery, Chennai"
Yamaha Gladiator,2012,NA,10000,33333,"Kodambakkam, Chennai"
KTM RC 200,2019,199.5,200000,3500,"Triplicane, Chennai"
Honda Activa 4G,2016,109.2,15000,7427,"Agaram, Chennai"
Suzuki Gixxer,2017,155,55000,78000,"Ambattur, Chennai"
Yamaha FZ25,2018,249,110000,24050,"Kadambathur, Chennai"
KTM Duke 200,2018,199.5,140000,20000,"Maraimalai Nagar, Chennai"
KTM Duke 200,2016,199.5,20000,15298,"Kalaignar Karunanidhi Nagar, Chennai"
Honda Activa 4G,2017,109.2,19999,15298,"Icfcolony, Chennai"
Hero Honda Passion,2004,97.2,13000,60000,"Maduravoyal, Chennai"
KTM Duke 200,2016,199.5,20000,15298,"Avadi, Chennai"
Bajaj Avenger 220,2016,220,56000,16770,"Besant Nagar, Chennai"
Honda Activa 4G,2019,109.2,35500,6454,"Ayappakkam, Chennai"
Honda Dio,2007,109,25000,40000,"Iit Madras, Chennai"
Honda Activa 4G,2019,109.2,22000,2687,"Cholambedu, Chennai"
Royal Enfield Bullet Classic,2020,346,40000,9589,"Jawahar Nagar, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,7055,"Karanodai, Chennai"
Royal Enfield Bullet Classic,2019,346,50000,78561,"Broadway, Chennai"
Royal Enfield Bullet,NA,346,95000,2300,"Ambattur, Chennai"
Royal Enfield Bullet,2020,346,50000,5000,"Injambakkam, Chennai"
Honda Activa 4G,2019,109.2,25000,6580,"Anakaputhur, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Old Mahabalipuram Road, Chennai"
Royal Enfield Bullet Classic,2016,346,25000,14580,"MMDA Colony, Chennai"
Royal Enfield Bullet Classic,2019,346,40000,9385,"Chengalpattu, Chennai"
Honda Activa,2012,109,23500,52113,"Porur, Chennai"
TVS Scooty,2016,87.8,28000,27111,"Porur, Chennai"
Honda Activa 4G,2018,109.2,18500,13500,"Adyar, Chennai"
TVS Apache RTR 160,2009,159.7,25000,50000,"MMDA Colony, Chennai"
Hero Splendor Plus 100,2010,97.2,18000,45000,"Perungalathur, Chennai"
Hero Splendor Plus 100,2010,97.2,17500,45000,"Irumbuliyur, Chennai"
Honda CB Hornet 160R,2017,162.71,55000,89000,"Ambattur, Chennai"
KTM Duke 200,2016,199.5,25000,15388,"Gandhi Nagar, Chennai"
Royal Enfield Bullet Classic,2019,346,45000,9458,"Kolapakkam, Chennai"
Royal Enfield Bullet Classic,2016,346,28500,19588,"Anna Nagar West, Chennai"
Royal Enfield Bullet Classic,2018,346,25000,10500,"Cholavaram, Chennai"
KTM Duke 200,2016,199.5,20000,15298,"Elavur, Chennai"
Honda Activa 4G,2019,109.2,22000,7380,"Fort St George, Chennai"
Royal Enfield Bullet Classic,2019,346,50000,15632,"Shenoy Nagar, Chennai"
KTM Duke 200,2016,199.5,20000,14688,"Gerugambakkam, Chennai"
Royal Enfield Bullet Classic,2020,346,25000,8520,"Arambakkam, Chennai"
KTM Duke 390,2018,373,55000,12055,"Irumbuliyur, Chennai"
KTM Duke 200,2016,199.5,20000,15868,"Getnamalli, Chennai"
Royal Enfield Bullet Classic,2012,346,90000,30000,"Aminjikarai, Chennai"
Honda Dio,2015,109,22000,31158,"Chembarambakkam, Chennai"
Honda CB Unicorn,2010,149.1,28000,76672,"Velachery, Chennai"
Yamaha YZF R15,2020,149,155000,5500,"Mannady, Chennai"
Yamaha YZF R15,2017,149,80000,30000,"West Mambalam, Chennai"
Honda Activa,2006,109,15000,14000,"Anna Salai, Chennai"
TVS Scooty,2018,87.8,35000,16000,"Medavakkam, Chennai"
Bajaj Discover 100 M,2010,102,14500,45000,"Vadapalani, Chennai"
Suzuki GS 150R,2016,149.5,36000,25500,"Vadapalani, Chennai"
Bajaj Discover,2008,134.21,11000,48000,"G K M Colony, Chennai"
Royal Enfield Bullet,2015,346,140000,5000,"Velachery, Chennai"
Honda Activa,2006,109,13500,12345,"Egmore, Chennai"
Honda Activa 4G,2019,109.2,35500,6454,"Flower Bazaar, Chennai"
Yamaha YZF R15,2018,149,100000,26000,"Arumbakkam, Chennai"
Yamaha FZ S,2012,153,35000,28800,"Kk Nagar, Chennai"
Royal Enfield Bullet Classic,2019,346,50000,7850,"CIT Nagar, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"D G Vaishnav College, Chennai"
Suzuki Access,2011,124,19500,48000,"Thoraipakkam, Chennai"
Bajaj Discover 125 ST,2013,124.6,27000,55000,"Velachery, Chennai"
Yamaha RXZ 135,2018,132,45000,23000,"Kodungaiyur, Chennai"
Hero Splendor Plus 100,2011,97.2,30000,40000,"Ashok Nagar, Chennai"
Yamaha FZ S,2014,153,40000,29000,"Pallikaranai, Chennai"
Bajaj Dominar 400,2017,373.3,93000,18000,"Tiruvottiyur, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,7055,"Alandur, Chennai"
KTM Duke 200,2017,199.5,45000,15478,"Edapalayam, Chennai"
Suzuki Gixxer SF,2016,155,55000,38000,"Adambakkam, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Jafferkhanpet, Chennai"
Yamaha FZ25,2015,249,40000,60000,"Thiruverkadu, Chennai"
Honda Activa 4G,2019,109.2,35500,6454,"D G Vaishnav College, Chennai"
Bajaj Pulsar 180,2014,178.6,47000,39000,"Ambattur, Chennai"
KTM Duke 200,2016,199.5,25000,12565,"Ashok Nagar, Chennai"
KTM Duke 390,2018,373,55000,12055,"Besant Nagar, Chennai"
Royal Enfield Bullet Classic,2019,346,45000,9821,"Adambakkam, Chennai"
KTM Duke 200,2016,199.5,25000,15298,"Govt Stanley Hospital, Chennai"
Bajaj Pulsar 150,2010,150,27500,41283,"Adambakkam, Chennai"
Honda Activa,2020,109,NA,NA,"Thyagaraya Nagar, Chennai"
Hero Honda Karizma,2013,223,50000,37300,"Thyagaraya Nagar, Chennai"
Yamaha YZF R15,2018,149,114999,13000,"Villivakkam, Chennai"
Hero Splendor Plus 100,2018,97.2,49000,9450,"Nandanam, Chennai"
Royal Enfield Bullet Classic,2019,346,45000,96821,"Flowers Road, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,7055,"Guindy, Chennai"
Honda Activa 4G,2016,109.2,15000,7427,"Manali New Town, Chennai"
Honda Activa 4G,2019,109.2,20000,7866,"Neelankarai, Chennai"
KTM Duke 200,2018,199.5,40000,12500,"Kasturba Nagar, Chennai"
KTM Duke 200,2016,199.5,25000,15288,"MMDA Colony, Chennai"
Royal Enfield Bullet Classic,2019,346,45000,9685,"Korattur, Chennai"
Honda Activa,2016,109,18500,25488,"Chrompet, Chennai"
Honda CBR150R,2013,149.4,65000,37000,"Korattur, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Indian Institute Of Technology, Chennai"
Yamaha YZF R15,2016,149,72000,35000,"Tiruvottiyur, Chennai"
Royal Enfield Bullet,1997,346,72000,35000,"Vivekananda College Madras, Chennai"
Royal Enfield Bullet,1997,346,70000,25000,"Vivekananda College Madras, Chennai"
Bajaj Discover,2008,134.21,12000,49000,"Ayanavaram, Chennai"
TVS Star Sport,2012,99.7,65000,NA,"Mangadu, Chennai"
TVS Star Sport,2012,99.7,65000,NA,"Mangadu, Chennai"
Honda CB Hornet 160R,2018,162.71,68000,35500,"Tambaram West, Chennai"
KTM Duke 200,2016,199.5,35000,15298,"Edapalayam, Chennai"
Hero Splendor Plus 100,2007,97.2,20000,80000,"Velachery, Chennai"
Bajaj Pulsar,2012,NA,32000,35000,"Choolaimedu, Chennai"
Honda CB Hornet 160R,2017,162.71,60000,45000,"Mogappair West, Chennai"
Hero Honda Passion,2010,97.2,25000,45000,"Perambur Barracks, Chennai"
Hero Honda Passion,2009,97.2,20000,53000,"Pammal, Chennai"
Hero Splendor Plus 100,2012,97.2,NA,NA,"Chrompet, Chennai"
Honda Dream Yuga,2016,109,34000,38000,"Tiruvottiyur, Chennai"
TVS Scooty,2009,87.8,18000,22000,"Madipakkam, Chennai"
Honda CB Hornet 160R,2018,162.71,95000,8000,"Medavakkam, Chennai"
Harley Davidson Street 750,2015,749,320000,6000,"Kilpauk, Chennai"
TVS Scooty,2009,87.8,18000,22000,"Madipakkam, Chennai"
Piaggio Vespa,2012,125,42000,26000,"Nungambakkam, Chennai"
TVS Heavy Duty Super XL,2013,69.9,14000,33000,"Sholingnallur, Chennai"
Honda Dio,2015,109,18000,14257,"Alathur, Chennai"
TVS Scooty,2013,87.8,15000,25000,"Saidapet, Chennai"
Royal Enfield Thunderbird 350X,2018,346,130000,10000,"Kalaignar Karunanidhi Nagar, Chennai"
Honda Activa 4G,2019,109.2,35500,6454,"Manali New Town, Chennai"
Royal Enfield Bullet Classic,2019,346,50000,4859,"Agaram, Chennai"
TVS Heavy Duty Super XL,2013,69.9,13900,33000,"Perumbakkam, Chennai"
KTM Duke 200,2016,199.5,25000,15298,"Ariyalur, Chennai"
Honda Activa 4G,2019,109.2,21000,73802,"Anna Nagar Western Extn., Chennai"
Honda Dio,2015,109,34000,30000,"Perambur Barracks, Chennai"
Bajaj Pulsar 150,2009,150,25000,30000,"Kelambakkam, Chennai"
Royal Enfield Bullet Classic,2018,346,40000,8158,"2Nd Main Road, Chennai"
KTM Duke 200,2016,199.5,25000,14580,"Nellikuppam, Chennai"
Royal Enfield Bullet Classic,2016,346,25000,12580,"Cholambedu, Chennai"
Yamaha SZ-R,2011,153,22000,70000,"Maraimalai Nagar, Chennai"
Honda CBF Stunner,2009,124.7,25000,78000,"Madhavaram, Chennai"
Royal Enfield Bullet Classic,2012,346,89000,70000,"Madhanandapuram, Chennai"
TVS Heavy Duty Super XL,2011,69.9,16000,15000,"Pallavaram, Chennai"
KTM Duke 200,2014,199.5,90000,36000,"Nanganallur, Chennai"
Royal Enfield Bullet Classic,2019,346,50000,7850,"Chrompet, Chennai"
Royal Enfield Bullet Classic,2019,346,50000,7850,"Chrompet, Chennai"
Honda Activa 4G,2019,109.2,17500,8500,"Broadway, Chennai"
Honda Activa 4G,2019,109.2,22000,5896,"Chintadripet, Chennai"
Honda Activa,2016,109,18500,25580,"Annanur, Chennai"
KTM Duke 200,2016,199.5,25000,15385,"Mannur, Chennai"
KTM Duke 200,2016,199.5,25000,12565,"Gerugambakkam, Chennai"
Honda Activa 4G,2019,109.2,22000,7380,"Kattupakkam, Chennai"
KTM Duke 200,2016,199.5,25000,12850,"Chitlapakkam, Chennai"
Honda Activa 4G,2019,109.2,20000,7866,"Arumbakkam, Chennai"
KTM RC 200,2018,199.5,45000,6589,"Dr.Radhakrishnan Salai, Chennai"
